resume_text,job_description,label
"Python developer with 5 years ML experience, TensorFlow, Scikit-learn, NLP","Looking for ML engineer with Python, TensorFlow, deep learning, 3+ years",1
"Graphic designer expert in Figma and Adobe XD","Hiring backend Python engineer with FastAPI and PostgreSQL",0
"Full-stack developer: React, Node.js, MongoDB, REST APIs, agile","Seeking full-stack engineer with React and Node.js, test-driven development",1
"Data scientist with Python, R, SQL, statistics, A/B testing, 7 years","Data Scientist role: Python, machine learning, statistical analysis, Excel",1
"Senior Java developer, Spring Boot, microservices, cloud architect","Junior Python developer needed, Flask, relational databases",0
"DevOps engineer: Docker, Kubernetes, AWS, CI/CD pipelines, terraform","Infrastructure engineer: Kubernetes, AWS, cloud infrastructure, 5+ years",1
"Frontend specialist: Vue.js, TypeScript, CSS, performance optimization","Full-stack React developer with Node.js backend and PostgreSQL database",0
"Systems engineer with C++, Python, Linux kernel, embedded systems","C++ developer for robotics applications with embedded systems experience",1
"Cloud architect: AWS certified, Lambda, RDS, Serverless, 6 years","AWS specialist needed for cloud infrastructure and cost optimization",1
"QA engineer: test automation, Selenium, Python, CI/CD integration","Test automation engineer with Selenium and Python, regression testing",1
"Database admin: PostgreSQL, Oracle, replication, optimization, backups","DBA role: MySQL and PostgreSQL administration and performance tuning",1
"Mobile developer: React Native, iOS Swift, Android Kotlin, cross-platform","iOS developer for Swift app development, 5+ years experience required",0
"Backend engineer: Go, microservices, gRPC, event streaming, distributed systems","Go backend developer with microservices and gRPC experience needed",1
"Security engineer: penetration testing, vulnerability assessment, OWASP","Cybersecurity specialist for penetration testing and security audits",1
"AI/ML researcher: deep learning, PyTorch, research papers, PhD","Machine learning engineer for production deployment and optimization",1
